"","Cell","Batch","Group","ExpLibSize"
"Cell2777","Cell2777","Batch1","Group2",58749.9379249591
"Cell2778","Cell2778","Batch1","Group4",60676.148926024
"Cell2779","Cell2779","Batch1","Group3",62207.5121465655
"Cell2780","Cell2780","Batch1","Group6",68266.5855519913
"Cell2781","Cell2781","Batch1","Group9",58337.8350453032
"Cell2782","Cell2782","Batch1","Group3",39785.9701902782
"Cell2783","Cell2783","Batch1","Group5",59052.844187784
"Cell2784","Cell2784","Batch1","Group5",64337.9391881072
"Cell2785","Cell2785","Batch1","Group9",68560.4723772767
"Cell2786","Cell2786","Batch1","Group7",39330.0150012469
"Cell2787","Cell2787","Batch1","Group9",68933.4916353053
"Cell2788","Cell2788","Batch1","Group9",80474.6420233317
"Cell2789","Cell2789","Batch1","Group4",64170.880271087
"Cell2790","Cell2790","Batch1","Group6",72462.2013277255
"Cell2791","Cell2791","Batch1","Group5",62409.8161080384
"Cell2792","Cell2792","Batch1","Group7",61090.5496002398
"Cell2793","Cell2793","Batch1","Group1",51660.9504514861
"Cell2794","Cell2794","Batch1","Group3",51166.6601914498
"Cell2795","Cell2795","Batch1","Group5",45545.3105063648
"Cell2796","Cell2796","Batch1","Group9",73633.4825702882
"Cell2797","Cell2797","Batch1","Group7",51694.7987777129
"Cell2798","Cell2798","Batch1","Group7",57088.4783627113
"Cell2799","Cell2799","Batch1","Group10",65788.9210743393
"Cell2800","Cell2800","Batch1","Group9",69275.9675277599
"Cell2801","Cell2801","Batch1","Group6",47220.1119153907
"Cell2802","Cell2802","Batch1","Group1",84379.4543497493
"Cell2803","Cell2803","Batch1","Group7",48062.4453515247
"Cell2804","Cell2804","Batch1","Group7",49372.7832184009
"Cell2805","Cell2805","Batch1","Group3",35058.2903087784
"Cell2806","Cell2806","Batch1","Group5",67221.7362521214
"Cell2807","Cell2807","Batch1","Group1",51606.9766178537
"Cell2808","Cell2808","Batch1","Group4",57114.7045871104
"Cell2809","Cell2809","Batch1","Group4",51178.9326694182
"Cell2810","Cell2810","Batch1","Group4",63177.8721535221
"Cell2811","Cell2811","Batch1","Group3",77955.4365033624
"Cell2812","Cell2812","Batch1","Group3",55204.4732011855
"Cell2813","Cell2813","Batch1","Group4",64074.4573037148
"Cell2814","Cell2814","Batch1","Group8",51769.4465172123
"Cell2815","Cell2815","Batch1","Group1",51220.1715980132
"Cell2816","Cell2816","Batch1","Group2",70630.2193137948
"Cell2817","Cell2817","Batch1","Group2",82823.3555480555
"Cell2818","Cell2818","Batch1","Group2",58882.3488047913
"Cell2819","Cell2819","Batch1","Group6",64073.0014360029
"Cell2820","Cell2820","Batch1","Group4",60576.294121629
"Cell2821","Cell2821","Batch1","Group3",89349.8314262412
"Cell2822","Cell2822","Batch1","Group10",56584.0265819439
"Cell2823","Cell2823","Batch1","Group3",66403.4191585192
"Cell2824","Cell2824","Batch1","Group7",74334.9034717827
"Cell2825","Cell2825","Batch1","Group7",56288.3211112891
"Cell2826","Cell2826","Batch1","Group5",60849.9178466393
"Cell2827","Cell2827","Batch1","Group8",62359.6110532926
"Cell2828","Cell2828","Batch1","Group9",64966.8262516333
"Cell2829","Cell2829","Batch1","Group1",61234.6333396406
"Cell2830","Cell2830","Batch1","Group5",53051.3474976571
"Cell2831","Cell2831","Batch1","Group5",64892.6162752183
"Cell2832","Cell2832","Batch1","Group6",70531.0137689083
"Cell2833","Cell2833","Batch1","Group8",62818.4155173316
"Cell2834","Cell2834","Batch1","Group7",68495.1635379106
"Cell2835","Cell2835","Batch1","Group2",59706.4326901303
"Cell2836","Cell2836","Batch1","Group10",45557.725471188
"Cell2837","Cell2837","Batch1","Group7",75091.3037725809
"Cell2838","Cell2838","Batch1","Group1",60727.0425880494
"Cell2839","Cell2839","Batch1","Group1",60330.1796379637
"Cell2840","Cell2840","Batch1","Group1",37878.4117903907
"Cell2841","Cell2841","Batch1","Group8",49105.2200295189
"Cell2842","Cell2842","Batch1","Group10",62943.2794357446
"Cell2843","Cell2843","Batch1","Group6",48379.508493857
"Cell2844","Cell2844","Batch1","Group8",51857.6120328999
"Cell2845","Cell2845","Batch1","Group6",51803.6863444727
"Cell2846","Cell2846","Batch1","Group1",44689.6479854266
"Cell2847","Cell2847","Batch1","Group4",64339.0885154624
"Cell2848","Cell2848","Batch1","Group1",70800.7725123574
"Cell2849","Cell2849","Batch1","Group8",66934.8399446913
"Cell2850","Cell2850","Batch1","Group1",59154.0476294353
"Cell2851","Cell2851","Batch1","Group8",48395.4330269342
"Cell2852","Cell2852","Batch1","Group6",55351.9617070226
"Cell2853","Cell2853","Batch1","Group1",46753.7785645549
"Cell2854","Cell2854","Batch1","Group3",62261.8882684327
"Cell2855","Cell2855","Batch1","Group2",58610.1599499863
"Cell2856","Cell2856","Batch1","Group7",64214.6037954208
"Cell2857","Cell2857","Batch1","Group7",58238.5868980792
"Cell2858","Cell2858","Batch1","Group4",61700.9184562718
"Cell2859","Cell2859","Batch1","Group4",53068.5482775137
"Cell2860","Cell2860","Batch1","Group8",35501.7138641889
"Cell2861","Cell2861","Batch1","Group5",56673.204501761
"Cell2862","Cell2862","Batch1","Group4",65556.6402932972
"Cell2863","Cell2863","Batch1","Group5",55652.4494836933
"Cell2864","Cell2864","Batch1","Group10",62278.7832832519
"Cell2865","Cell2865","Batch1","Group4",68662.8810102445
"Cell2866","Cell2866","Batch1","Group1",70275.4249636735
"Cell2867","Cell2867","Batch1","Group8",42712.5477602345
"Cell2868","Cell2868","Batch1","Group10",65932.9147858007
"Cell2869","Cell2869","Batch1","Group4",64432.1216387295
"Cell2870","Cell2870","Batch1","Group9",51391.8821699712
"Cell2871","Cell2871","Batch1","Group2",51729.7382280866
"Cell2872","Cell2872","Batch1","Group7",55207.3076428583
"Cell2873","Cell2873","Batch1","Group10",70959.7573872498
"Cell2874","Cell2874","Batch1","Group1",45100.8849440676
"Cell2875","Cell2875","Batch1","Group5",55757.6458602259
"Cell2876","Cell2876","Batch1","Group6",68776.3719146556
"Cell2877","Cell2877","Batch1","Group6",66848.1114471191
"Cell2878","Cell2878","Batch1","Group1",55984.8292500588
"Cell2879","Cell2879","Batch1","Group6",64403.3328743637
"Cell2880","Cell2880","Batch1","Group1",63578.1410314489
"Cell2881","Cell2881","Batch1","Group3",94101.4922683458
"Cell2882","Cell2882","Batch1","Group7",55907.34370723
"Cell2883","Cell2883","Batch1","Group9",70773.3477468848
"Cell2884","Cell2884","Batch1","Group2",70546.4356005372
"Cell2885","Cell2885","Batch1","Group8",59735.47653107
"Cell2886","Cell2886","Batch1","Group5",46347.6467329945
"Cell2887","Cell2887","Batch1","Group2",86626.3677362857
"Cell2888","Cell2888","Batch1","Group8",55423.2684422696
"Cell2889","Cell2889","Batch1","Group8",54648.9526034981
"Cell2890","Cell2890","Batch1","Group2",56090.9364558394
"Cell2891","Cell2891","Batch1","Group5",65418.3800720781
"Cell2892","Cell2892","Batch1","Group2",56976.9883558627
"Cell2893","Cell2893","Batch1","Group9",94472.2428622671
"Cell2894","Cell2894","Batch1","Group8",54157.9761954684
"Cell2895","Cell2895","Batch1","Group6",63741.1198562334
"Cell2896","Cell2896","Batch1","Group2",67986.8147092865
"Cell2897","Cell2897","Batch1","Group8",40461.7526922008
"Cell2898","Cell2898","Batch1","Group7",60298.8696598893
"Cell2899","Cell2899","Batch1","Group1",45992.1447408768
"Cell2900","Cell2900","Batch1","Group5",41551.1008737056
"Cell2901","Cell2901","Batch1","Group1",69749.0081250336
"Cell2902","Cell2902","Batch1","Group4",70281.0735398232
"Cell2903","Cell2903","Batch1","Group3",65235.0958209739
"Cell2904","Cell2904","Batch1","Group7",71833.4665896773
"Cell2905","Cell2905","Batch1","Group6",55727.9554594854
"Cell2906","Cell2906","Batch1","Group7",57162.6428584644
"Cell2907","Cell2907","Batch1","Group2",44783.2077887168
"Cell2908","Cell2908","Batch1","Group7",72720.762295318
"Cell2909","Cell2909","Batch1","Group8",41452.63772767
"Cell2910","Cell2910","Batch1","Group7",70359.4325760116
"Cell2911","Cell2911","Batch1","Group8",72038.2867488254
"Cell2912","Cell2912","Batch1","Group4",65388.1363990112
"Cell2913","Cell2913","Batch1","Group4",53795.5880390127
"Cell2914","Cell2914","Batch1","Group8",78392.7063210035
"Cell2915","Cell2915","Batch1","Group3",61240.5028417419
"Cell2916","Cell2916","Batch1","Group1",76100.8279944655
"Cell2917","Cell2917","Batch1","Group1",51788.0612055261
"Cell2918","Cell2918","Batch1","Group9",76949.4005507928
"Cell2919","Cell2919","Batch1","Group6",59855.32134943
"Cell2920","Cell2920","Batch1","Group1",56485.6714018673
"Cell2921","Cell2921","Batch1","Group8",72605.638811107
"Cell2922","Cell2922","Batch1","Group5",70626.2837631626
"Cell2923","Cell2923","Batch1","Group3",59003.9892036198
"Cell2924","Cell2924","Batch1","Group9",44819.5024959259
"Cell2925","Cell2925","Batch1","Group1",42746.5669037328
"Cell2926","Cell2926","Batch1","Group8",74048.4627992463
"Cell2927","Cell2927","Batch1","Group10",63619.8710642901
"Cell2928","Cell2928","Batch1","Group4",67169.3954173169
"Cell2929","Cell2929","Batch1","Group7",61988.9282662559
"Cell2930","Cell2930","Batch1","Group4",50229.8682310753
"Cell2931","Cell2931","Batch1","Group7",66383.7275725784
"Cell2932","Cell2932","Batch1","Group1",39020.4904315985
"Cell2933","Cell2933","Batch1","Group10",63893.9152312944
"Cell2934","Cell2934","Batch1","Group4",34366.4017757415
"Cell2935","Cell2935","Batch1","Group6",48431.8050629792
"Cell2936","Cell2936","Batch1","Group10",74007.3264810533
"Cell2937","Cell2937","Batch1","Group6",75663.308562883
"Cell2938","Cell2938","Batch1","Group5",71447.1851315573
"Cell2939","Cell2939","Batch1","Group2",72187.0760478143
"Cell2940","Cell2940","Batch1","Group3",57976.8141927953
"Cell2941","Cell2941","Batch1","Group8",55827.6161660799
"Cell2942","Cell2942","Batch1","Group2",47416.5305920097
"Cell2943","Cell2943","Batch1","Group1",54481.9320440069
"Cell2944","Cell2944","Batch1","Group3",76369.4692646367
"Cell2945","Cell2945","Batch1","Group8",55905.632586831
"Cell2946","Cell2946","Batch1","Group2",86507.5059216047
"Cell2947","Cell2947","Batch1","Group3",42297.4183288198
"Cell2948","Cell2948","Batch1","Group6",56046.7492445282
"Cell2949","Cell2949","Batch1","Group10",64680.5239824188
"Cell2950","Cell2950","Batch1","Group10",72962.4499896324
"Cell2951","Cell2951","Batch1","Group9",68552.0895557932
"Cell2952","Cell2952","Batch1","Group4",60994.5104356437
"Cell2953","Cell2953","Batch1","Group8",66752.5437899644
"Cell2954","Cell2954","Batch1","Group1",66614.4158384246
"Cell2955","Cell2955","Batch1","Group7",84303.5262571866
"Cell2956","Cell2956","Batch1","Group6",47686.8329588001
"Cell2957","Cell2957","Batch1","Group9",72422.6392492221
"Cell2958","Cell2958","Batch1","Group3",64417.9123313514
"Cell2959","Cell2959","Batch1","Group5",82043.1729047441
"Cell2960","Cell2960","Batch1","Group5",52075.1962230771
"Cell2961","Cell2961","Batch1","Group2",57231.4954266269
"Cell2962","Cell2962","Batch1","Group4",62536.5797106987
"Cell2963","Cell2963","Batch1","Group9",78986.5198970072
"Cell2964","Cell2964","Batch1","Group5",49418.999585949
"Cell2965","Cell2965","Batch1","Group8",64339.831424791
"Cell2966","Cell2966","Batch1","Group7",65570.6736479015
"Cell2967","Cell2967","Batch1","Group10",52194.4624882586
"Cell2968","Cell2968","Batch1","Group7",56253.4902481745
"Cell2969","Cell2969","Batch1","Group3",56240.5390819563
"Cell2970","Cell2970","Batch1","Group9",60884.4867470651
"Cell2971","Cell2971","Batch1","Group2",69023.7443528725
"Cell2972","Cell2972","Batch1","Group9",47878.3402272645
"Cell2973","Cell2973","Batch1","Group2",50819.4206026279
"Cell2974","Cell2974","Batch1","Group9",62368.9921022287
"Cell2975","Cell2975","Batch1","Group9",65472.0055590605
"Cell2976","Cell2976","Batch1","Group7",58803.0904939225
"Cell2977","Cell2977","Batch1","Group10",41034.5181937661
"Cell2978","Cell2978","Batch1","Group4",54772.7506045763
"Cell2979","Cell2979","Batch1","Group4",65122.1187724503
"Cell2980","Cell2980","Batch1","Group8",59600.2224521458
"Cell2981","Cell2981","Batch1","Group6",59242.6365048111
"Cell2982","Cell2982","Batch1","Group8",56412.2341642485
"Cell2983","Cell2983","Batch1","Group2",41541.424567547
"Cell2984","Cell2984","Batch1","Group5",58364.5679990655
"Cell2985","Cell2985","Batch1","Group10",88308.7294146191
"Cell2986","Cell2986","Batch1","Group5",52622.7526957382
"Cell2987","Cell2987","Batch1","Group2",67856.0320669578
"Cell2988","Cell2988","Batch1","Group10",61477.2610483511
"Cell2989","Cell2989","Batch1","Group7",76972.4154634149
"Cell2990","Cell2990","Batch1","Group1",78012.837161008
"Cell2991","Cell2991","Batch1","Group9",68218.2402560987
"Cell2992","Cell2992","Batch1","Group7",41477.7506229194
"Cell2993","Cell2993","Batch1","Group6",84513.5444147627
"Cell2994","Cell2994","Batch1","Group5",61758.250230546
"Cell2995","Cell2995","Batch1","Group7",60723.1936614068
"Cell2996","Cell2996","Batch1","Group1",86960.9069207064
"Cell2997","Cell2997","Batch1","Group4",69373.3756481818
"Cell2998","Cell2998","Batch1","Group3",88751.8946763728
"Cell2999","Cell2999","Batch1","Group4",40922.6410623346
"Cell3000","Cell3000","Batch1","Group3",62437.0462469993
"Cell3001","Cell3001","Batch1","Group7",57936.4730091731
"Cell3002","Cell3002","Batch1","Group10",54829.1455661443
"Cell3003","Cell3003","Batch1","Group6",63817.6097932276
"Cell3004","Cell3004","Batch1","Group3",80736.6441478453
"Cell3005","Cell3005","Batch1","Group5",67732.14285999
"Cell3006","Cell3006","Batch1","Group10",58196.0334307028
"Cell3007","Cell3007","Batch1","Group1",61778.8892806597
"Cell3008","Cell3008","Batch1","Group3",66940.9813502091
"Cell3009","Cell3009","Batch1","Group5",35143.3068425947
"Cell3010","Cell3010","Batch1","Group9",50652.0084135921
"Cell3011","Cell3011","Batch1","Group1",66169.3244234724
"Cell3012","Cell3012","Batch1","Group6",70677.6915345497
"Cell3013","Cell3013","Batch1","Group3",58565.6751246063
"Cell3014","Cell3014","Batch1","Group10",63161.6456495299
"Cell3015","Cell3015","Batch1","Group10",45465.0555151836
"Cell3016","Cell3016","Batch1","Group1",66774.0050940753
"Cell3017","Cell3017","Batch1","Group9",45258.0952723499
"Cell3018","Cell3018","Batch1","Group6",49769.9082306849
"Cell3019","Cell3019","Batch1","Group2",48054.5936827988
"Cell3020","Cell3020","Batch1","Group9",57684.9697400361
"Cell3021","Cell3021","Batch1","Group1",58712.1286148805
"Cell3022","Cell3022","Batch1","Group2",68395.8561134524
"Cell3023","Cell3023","Batch1","Group3",56441.1355008103
"Cell3024","Cell3024","Batch1","Group5",47495.0866422666
"Cell3025","Cell3025","Batch1","Group3",60455.4194279602
"Cell3026","Cell3026","Batch1","Group3",67222.6388658081
"Cell3027","Cell3027","Batch1","Group4",57718.8853429716
"Cell3028","Cell3028","Batch1","Group7",56480.353317197
"Cell3029","Cell3029","Batch1","Group3",48360.7184387772
"Cell3030","Cell3030","Batch1","Group6",61127.2421291334
"Cell3031","Cell3031","Batch1","Group5",58612.3738236763
"Cell3032","Cell3032","Batch1","Group6",60449.7601279099
"Cell3033","Cell3033","Batch1","Group4",53726.69578262
"Cell3034","Cell3034","Batch1","Group6",36327.401804969
"Cell3035","Cell3035","Batch1","Group6",59124.6746677561
"Cell3036","Cell3036","Batch1","Group10",44165.8464161793
"Cell3037","Cell3037","Batch1","Group5",45511.7562768366
"Cell3038","Cell3038","Batch1","Group6",75633.7808617544
"Cell3039","Cell3039","Batch1","Group2",69571.1289021644
"Cell3040","Cell3040","Batch1","Group1",44609.310838744
"Cell3041","Cell3041","Batch1","Group5",47378.9615233663
"Cell3042","Cell3042","Batch1","Group2",52634.0503705838
"Cell3043","Cell3043","Batch1","Group5",52087.9030457565
"Cell3044","Cell3044","Batch1","Group8",41021.3228861127
"Cell3045","Cell3045","Batch1","Group4",54798.0884078088
"Cell3046","Cell3046","Batch1","Group1",68402.2348245933
"Cell3047","Cell3047","Batch1","Group2",61150.7837599638
"Cell3048","Cell3048","Batch1","Group3",55865.6934000677
"Cell3049","Cell3049","Batch1","Group4",56025.5024154478
"Cell3050","Cell3050","Batch1","Group4",64991.9052858284
"Cell3051","Cell3051","Batch1","Group1",66686.4611362539
"Cell3052","Cell3052","Batch1","Group5",57303.1225847953
"Cell3053","Cell3053","Batch1","Group6",51293.8568190086
"Cell3054","Cell3054","Batch1","Group7",56405.4690380342
"Cell3055","Cell3055","Batch1","Group4",53945.8576512573
"Cell3056","Cell3056","Batch1","Group6",60417.4962027562
"Cell3057","Cell3057","Batch1","Group6",47112.4207953928
"Cell3058","Cell3058","Batch1","Group5",92656.1467464367
"Cell3059","Cell3059","Batch1","Group2",63010.2593404946
"Cell3060","Cell3060","Batch1","Group1",50368.3788190429
"Cell3061","Cell3061","Batch1","Group3",39341.9187403678
"Cell3062","Cell3062","Batch1","Group7",71186.1267545475
"Cell3063","Cell3063","Batch1","Group9",59353.0729727327
"Cell3064","Cell3064","Batch1","Group10",59813.3958959019
"Cell3065","Cell3065","Batch1","Group8",56078.2300427423
"Cell3066","Cell3066","Batch1","Group2",65448.0435172764
"Cell3067","Cell3067","Batch1","Group5",82433.5506341882
"Cell3068","Cell3068","Batch1","Group10",55807.7525101595
"Cell3069","Cell3069","Batch1","Group7",65677.5643820685
"Cell3070","Cell3070","Batch1","Group1",59309.4328237145
"Cell3071","Cell3071","Batch1","Group1",69614.4047010996
"Cell3072","Cell3072","Batch1","Group5",104653.626038066
"Cell3073","Cell3073","Batch1","Group2",68171.4359426644
"Cell3074","Cell3074","Batch1","Group6",40981.0916100475
"Cell3075","Cell3075","Batch1","Group9",44807.8768343846
"Cell3076","Cell3076","Batch1","Group1",74285.0446164466
"Cell3077","Cell3077","Batch1","Group9",45541.4434389132
"Cell3078","Cell3078","Batch1","Group7",50566.227921618
"Cell3079","Cell3079","Batch1","Group9",53920.6224555996
"Cell3080","Cell3080","Batch1","Group10",45533.2403509726
"Cell3081","Cell3081","Batch1","Group10",56384.5362509305
"Cell3082","Cell3082","Batch1","Group9",45719.567959627
"Cell3083","Cell3083","Batch1","Group6",66876.4704185508
"Cell3084","Cell3084","Batch1","Group6",75876.0433209885
"Cell3085","Cell3085","Batch1","Group10",59651.3665652401
"Cell3086","Cell3086","Batch1","Group5",44393.6991565435
"Cell3087","Cell3087","Batch1","Group8",57346.8813435505
"Cell3088","Cell3088","Batch1","Group2",44294.716607582
"Cell3089","Cell3089","Batch1","Group10",62440.6122231208
"Cell3090","Cell3090","Batch1","Group2",54374.2500751402
"Cell3091","Cell3091","Batch1","Group3",65176.7981317562
"Cell3092","Cell3092","Batch1","Group6",104101.908534297
"Cell3093","Cell3093","Batch1","Group8",48618.4573049479
"Cell3094","Cell3094","Batch1","Group8",44602.5656863022
"Cell3095","Cell3095","Batch1","Group10",48225.0860548007
"Cell3096","Cell3096","Batch1","Group5",53804.868422857
"Cell3097","Cell3097","Batch1","Group7",58118.5984501498
"Cell3098","Cell3098","Batch1","Group9",47401.4728385103
"Cell3099","Cell3099","Batch1","Group3",84705.5093336391
"Cell3100","Cell3100","Batch1","Group8",67116.6254481521
"Cell3101","Cell3101","Batch1","Group10",54752.1351019535
"Cell3102","Cell3102","Batch1","Group5",76471.6270573857
"Cell3103","Cell3103","Batch1","Group2",64721.5378528018
"Cell3104","Cell3104","Batch1","Group7",52569.717503647
"Cell3105","Cell3105","Batch1","Group3",52837.0781885644
"Cell3106","Cell3106","Batch1","Group1",81288.7077718926
"Cell3107","Cell3107","Batch1","Group4",50377.9908185044
"Cell3108","Cell3108","Batch1","Group8",58150.0635991597
"Cell3109","Cell3109","Batch1","Group5",46680.1646526747
"Cell3110","Cell3110","Batch1","Group9",42392.0821277182
"Cell3111","Cell3111","Batch1","Group1",50867.6035531561
"Cell3112","Cell3112","Batch1","Group8",58407.3675047418
"Cell3113","Cell3113","Batch1","Group2",67024.5660912564
"Cell3114","Cell3114","Batch1","Group1",49694.1488071951
"Cell3115","Cell3115","Batch1","Group6",53064.2206937544
"Cell3116","Cell3116","Batch1","Group1",50690.228375781
"Cell3117","Cell3117","Batch1","Group6",37612.4760773328
"Cell3118","Cell3118","Batch1","Group3",71201.3891703376
"Cell3119","Cell3119","Batch1","Group9",51897.2425550257
"Cell3120","Cell3120","Batch1","Group5",55077.6680239871
"Cell3121","Cell3121","Batch1","Group8",37609.0889445022
"Cell3122","Cell3122","Batch1","Group7",87425.6462629068
"Cell3123","Cell3123","Batch1","Group2",61564.09405572
"Cell3124","Cell3124","Batch1","Group5",63329.6100814672
"Cell3125","Cell3125","Batch1","Group5",64549.6558754374
"Cell3126","Cell3126","Batch1","Group6",55830.0064030157
"Cell3127","Cell3127","Batch1","Group5",46414.8505819469
"Cell3128","Cell3128","Batch1","Group9",42847.3977361172
"Cell3129","Cell3129","Batch1","Group1",46016.9135068349
"Cell3130","Cell3130","Batch1","Group4",62737.7475935088
"Cell3131","Cell3131","Batch1","Group10",68679.5959058619
"Cell3132","Cell3132","Batch1","Group2",66539.2526679913
"Cell3133","Cell3133","Batch1","Group1",55588.7931700337
"Cell3134","Cell3134","Batch1","Group1",53253.8049750136
"Cell3135","Cell3135","Batch1","Group10",50085.638755412
"Cell3136","Cell3136","Batch1","Group8",56486.2381613959
"Cell3137","Cell3137","Batch1","Group4",48682.914382255
"Cell3138","Cell3138","Batch1","Group10",62536.6225712394
"Cell3139","Cell3139","Batch1","Group10",102864.310830977
"Cell3140","Cell3140","Batch1","Group5",57882.8933077574
"Cell3141","Cell3141","Batch1","Group10",67318.3618785271
"Cell3142","Cell3142","Batch1","Group7",50005.8798034351
"Cell3143","Cell3143","Batch1","Group7",47298.9156385621
"Cell3144","Cell3144","Batch1","Group2",55566.4336945398
"Cell3145","Cell3145","Batch1","Group1",102382.604350551
"Cell3146","Cell3146","Batch1","Group8",66743.1162155636
"Cell3147","Cell3147","Batch1","Group7",77841.3424275404
"Cell3148","Cell3148","Batch1","Group8",66033.5414984503
"Cell3149","Cell3149","Batch1","Group1",60595.8260469743
"Cell3150","Cell3150","Batch1","Group3",58689.8438166014
"Cell3151","Cell3151","Batch1","Group6",49499.2748008231
"Cell3152","Cell3152","Batch1","Group4",63114.6317533046
"Cell3153","Cell3153","Batch1","Group6",78661.1719471757
"Cell3154","Cell3154","Batch1","Group1",60651.5249737192
"Cell3155","Cell3155","Batch1","Group9",63129.9402669198
"Cell3156","Cell3156","Batch1","Group8",56949.5452166991
"Cell3157","Cell3157","Batch1","Group8",59575.377957223
"Cell3158","Cell3158","Batch1","Group6",70887.1738891835
"Cell3159","Cell3159","Batch1","Group2",67399.8182815906
"Cell3160","Cell3160","Batch1","Group8",75858.6656799706
"Cell3161","Cell3161","Batch1","Group4",73654.4515326474
"Cell3162","Cell3162","Batch1","Group2",71335.8848599788
"Cell3163","Cell3163","Batch1","Group3",68758.2984073891
"Cell3164","Cell3164","Batch1","Group10",65992.351552908
"Cell3165","Cell3165","Batch1","Group8",74897.3807052787
"Cell3166","Cell3166","Batch1","Group2",48136.2609973689
"Cell3167","Cell3167","Batch1","Group3",54818.7347810744
"Cell3168","Cell3168","Batch1","Group3",59567.5611818716
"Cell3169","Cell3169","Batch1","Group6",90195.6519301037
"Cell3170","Cell3170","Batch1","Group9",52642.8399225243
"Cell3171","Cell3171","Batch1","Group10",65744.7731693543
"Cell3172","Cell3172","Batch1","Group10",60028.3878092659
"Cell3173","Cell3173","Batch1","Group2",57330.6163303558
"Cell3174","Cell3174","Batch1","Group2",77888.2162435627
"Cell3175","Cell3175","Batch1","Group6",58923.5716486036
"Cell3176","Cell3176","Batch1","Group9",35062.4710598606
"Cell3177","Cell3177","Batch1","Group9",54998.5158394931
"Cell3178","Cell3178","Batch1","Group8",42991.083110724
"Cell3179","Cell3179","Batch1","Group3",60956.3330740668
"Cell3180","Cell3180","Batch1","Group6",51403.6682891139
"Cell3181","Cell3181","Batch1","Group9",55980.7676919243
"Cell3182","Cell3182","Batch1","Group4",88160.3536638262
"Cell3183","Cell3183","Batch1","Group9",59299.4211789311
"Cell3184","Cell3184","Batch1","Group3",91255.7559235137
"Cell3185","Cell3185","Batch1","Group5",60301.5410412779
"Cell3186","Cell3186","Batch1","Group7",67034.61437286
"Cell3187","Cell3187","Batch1","Group6",53009.354619811
"Cell3188","Cell3188","Batch1","Group10",52379.3750139959
"Cell3189","Cell3189","Batch1","Group7",81782.9803049016
"Cell3190","Cell3190","Batch1","Group2",77473.7789408733
"Cell3191","Cell3191","Batch1","Group3",45771.6804610294
"Cell3192","Cell3192","Batch1","Group3",46910.302641671
"Cell3193","Cell3193","Batch1","Group10",68944.0380838212
"Cell3194","Cell3194","Batch1","Group1",48459.4060338077
"Cell3195","Cell3195","Batch1","Group10",78519.7448794126
"Cell3196","Cell3196","Batch1","Group3",65151.2874066924
"Cell3197","Cell3197","Batch1","Group9",80372.1654352481
"Cell3198","Cell3198","Batch1","Group2",109787.0655796
"Cell3199","Cell3199","Batch1","Group8",75551.3730658768
"Cell3200","Cell3200","Batch1","Group7",54075.9022365063
"Cell3201","Cell3201","Batch1","Group4",53148.8515828694
"Cell3202","Cell3202","Batch1","Group8",52058.6034989794
"Cell3203","Cell3203","Batch1","Group1",78061.0051360868
"Cell3204","Cell3204","Batch1","Group7",56198.3528103376
"Cell3205","Cell3205","Batch1","Group1",75287.525556951
"Cell3206","Cell3206","Batch1","Group3",70318.5628194399
"Cell3207","Cell3207","Batch1","Group6",74517.5884113166
"Cell3208","Cell3208","Batch1","Group8",46540.7155114359
"Cell3209","Cell3209","Batch1","Group4",82896.7627787194
"Cell3210","Cell3210","Batch1","Group6",57797.731081731
"Cell3211","Cell3211","Batch1","Group8",51989.1359548132
"Cell3212","Cell3212","Batch1","Group10",52837.3375650677
"Cell3213","Cell3213","Batch1","Group5",77890.6308701422
"Cell3214","Cell3214","Batch1","Group8",50956.4146703647
"Cell3215","Cell3215","Batch1","Group5",54629.3194768704
"Cell3216","Cell3216","Batch1","Group9",64766.722576864
"Cell3217","Cell3217","Batch1","Group7",71276.5750849385
"Cell3218","Cell3218","Batch1","Group8",58216.2137370291
"Cell3219","Cell3219","Batch1","Group5",40804.060529479
"Cell3220","Cell3220","Batch1","Group8",80544.881218985
"Cell3221","Cell3221","Batch1","Group8",55917.7886316733
"Cell3222","Cell3222","Batch1","Group9",45644.1938233509
"Cell3223","Cell3223","Batch1","Group9",51215.146711378
"Cell3224","Cell3224","Batch1","Group2",50487.7609279182
"Cell3225","Cell3225","Batch1","Group4",45309.0715756398
"Cell3226","Cell3226","Batch1","Group8",46650.2146698958
"Cell3227","Cell3227","Batch1","Group1",41302.9588487204
"Cell3228","Cell3228","Batch1","Group2",57780.0393384687
"Cell3229","Cell3229","Batch1","Group8",57110.6909355635
"Cell3230","Cell3230","Batch1","Group8",60223.1243775208
"Cell3231","Cell3231","Batch1","Group1",62351.7721414273
"Cell3232","Cell3232","Batch1","Group1",67906.3666686053
"Cell3233","Cell3233","Batch1","Group2",57856.3871710647
"Cell3234","Cell3234","Batch1","Group5",59380.5052686777
"Cell3235","Cell3235","Batch1","Group10",74936.5822842879
"Cell3236","Cell3236","Batch1","Group4",52870.7941678511
"Cell3237","Cell3237","Batch1","Group6",80932.5625859536
"Cell3238","Cell3238","Batch1","Group6",59300.4070164138
"Cell3239","Cell3239","Batch1","Group7",58535.9034956957
"Cell3240","Cell3240","Batch1","Group1",67086.0149634836
"Cell3241","Cell3241","Batch1","Group7",73051.8039750464
"Cell3242","Cell3242","Batch1","Group7",78040.6020811719
"Cell3243","Cell3243","Batch1","Group8",77984.4490097633
